id,idx,title,url,date
Ki5b5_L1O7Q,1,【Surprise】Listening Practice #6: Discover 10 Aspects of Japanese Behavior and Culture,https://www.youtube.com/watch?v=Ki5b5_L1O7Q,unknown
wvbvhJ4SdA4,2,Listening Practice #7｜Discover the 6 Latest Patterns for Categorizing Boys and Girls in Japan,https://www.youtube.com/watch?v=wvbvhJ4SdA4,unknown
CcXNYw7cDQE,3,【Unique Insight】Listening Practice #8: Learning Japan's Intense Entrance Exam Season,https://www.youtube.com/watch?v=CcXNYw7cDQE,unknown
NK49QZma69w,4,＜6 INTERESTING FACTS in Japan 🎧🇯🇵＞ Fun Japanese Listening Practice for Beginners to Intermediates,https://www.youtube.com/watch?v=NK49QZma69w,unknown
9l6dXvQ3lY4,5,＜Listening Practice #4＞ Learn Useful 13 Expressions “It’s Cold” like a Native Japanese.,https://www.youtube.com/watch?v=9l6dXvQ3lY4,unknown
2qirho8runc,6,【Japanese Listening Practice #3】4 Common Japanese Culture in Year End.,https://www.youtube.com/watch?v=2qirho8runc,unknown
Nz4R_hsgvgI,7,＜Listening Practice #5🎧🇯🇵＞ Learn Japanese from My Private Experiences in Madrid!,https://www.youtube.com/watch?v=Nz4R_hsgvgI,unknown
BvzSAu4JNN8,8,【Eye-Opening】Listening Practice #9: Discover Japanese Good Manners & the 4 Reasons Behind,https://www.youtube.com/watch?v=BvzSAu4JNN8,unknown
-_me-aecZew,9,【Enchanting】Listening Practice #10: Explore Japan's Secret Heaven “Tokunoshima”.,https://www.youtube.com/watch?v=-_me-aecZew,unknown
o0fcrBoIKt8,10,【Practical】Listening Practice #11: My Daily Routine.,https://www.youtube.com/watch?v=o0fcrBoIKt8,unknown
cIVQOgHxyTE,11,【Fanatic】Listening Practice #12: Korean Culture History and Popularity in Japan,https://www.youtube.com/watch?v=cIVQOgHxyTE,unknown
RI0R1d_cT6E,12,【Beneficial】Listening Practice #13: How to Master Japanese Particles & Nuances.,https://www.youtube.com/watch?v=RI0R1d_cT6E,unknown
T2SeSxD2euM,13,【Unbelievable】Listening Practice #14: Discover 10 Japanese Unique Reactions.,https://www.youtube.com/watch?v=T2SeSxD2euM,unknown
H0mkgZZH3ug,14,【Premiere】Listening Practice #15: Reasons why I started my Japanese Youtube Channel.,https://www.youtube.com/watch?v=H0mkgZZH3ug,unknown
18ChMS-gIqM,15,【Essential】Listening Practice #16: Top 10 Don'ts in Japan Not Found in Textbooks,https://www.youtube.com/watch?v=18ChMS-gIqM,unknown
kfvxBoa5noo,16,【Funny】Listening Practice #17: Japan's Unique School Rules,https://www.youtube.com/watch?v=kfvxBoa5noo,unknown
